,first_accuracy,first_wait,delayed,cancelled
642,-145.0,705.0,0,0
643,490.0,965.0,0,0
644,-114.0,0.0,1,0
645,178.0,0.0,0,0
646,1172.0,376.0,0,0
647,-18.0,112.0,0,0
648,45.0,213.0,0,0
649,81.0,0.0,0,0
650,-276.0,520.0,0,0
651,-125.0,0.0,0,0
652,,,1,0
653,-92.0,706.0,0,0
654,-69.0,245.0,0,0
655,-47.0,89.0,0,0
656,32.0,712.0,0,0
657,,,0,0
658,-44.0,390.0,1,0
659,,,0,0
660,5081.0,1374.0,0,0
661,77.0,86.0,0,0
662,130.0,136.0,0,0
663,,,1,0
664,76.0,0.0,0,0
665,-27.0,99.0,0,0
666,-1440.0,393.0,1,0
667,-61.0,44.0,0,0
668,490.0,116.0,0,0
669,61.0,141.0,1,0
670,988.0,1328.0,0,1
671,,,0,0
672,1090.0,1101.0,1,0
673,,,0,0
674,33.0,300.0,0,0
675,131.0,130.0,0,0
676,-215.0,61.0,0,0
677,,,1,0
678,90.0,106.0,1,0
679,4881.0,1878.0,0,0
680,-55.0,115.0,0,0
681,-12.0,598.0,0,0
682,,,0,0
683,44725.0,338.0,0,0
684,-16.0,998.0,0,0
685,3560.0,50.0,1,0
686,,,1,0
687,-109.0,275.0,0,0
688,257.0,139.0,1,0
689,65.0,441.0,0,0
690,73.0,849.0,0,0
691,,,0,0
692,-47.0,172.0,1,0
693,-180.0,0.0,0,0
694,-166.0,0.0,0,0
695,697.0,51.0,1,0
696,,,0,0
697,-136.0,407.0,0,0
698,-41.0,508.0,0,0
699,235.0,932.0,1,0
700,,,0,0
701,-12.0,445.0,1,0
702,-49.0,1835.0,0,0
703,,,0,0
704,-79.0,94.0,0,0
705,1385.0,60.0,1,0
706,-79.0,523.0,0,0
707,,,0,0
708,-195.0,90.0,0,0
709,,,0,0
710,-27.0,0.0,0,0
711,,,0,0
712,169.0,532.0,1,0
713,,,0,0
714,,,0,0
715,,,0,0
716,-25.0,95.0,1,0
717,1658.0,957.0,0,1
718,51.0,89.0,0,0
719,,,1,0
720,51.0,38.0,0,0
721,320.0,46.0,1,0
722,-77.0,314.0,0,0
723,,,0,0
724,-11.0,135.0,0,0
725,-263.0,0.0,0,0
726,,,0,0
727,517.0,892.0,1,0
728,147.0,147.0,0,0
729,-47.0,0.0,0,0
730,169.0,0.0,0,0
731,128.0,267.0,0,0
732,-1690.0,53.0,0,0
733,48.0,829.0,0,0
734,,,0,1
735,-102.0,0.0,0,0
736,-7.0,0.0,0,0
737,,,0,0
738,,,0,0
739,3892.0,436.0,0,0
740,,,0,0
741,48.0,89.0,1,0
742,,,1,0
743,187.0,2205.0,0,0
744,-94.0,0.0,1,0
745,,,1,0
746,343.0,51.0,0,0
747,-25.0,130.0,0,0
748,-187.0,4.0,0,0
749,,,1,0
750,,,0,0
751,1515.0,487.0,0,1
752,122.0,143.0,0,0
753,-50.0,189.0,0,0
754,553.0,142.0,0,0
755,-54.0,0.0,0,0
756,55.0,73.0,0,0
757,478.0,273.0,0,0
758,,,0,0
759,-58.0,638.0,0,0
760,-222.0,0.0,0,0
761,5.0,0.0,0,0
762,58.0,168.0,0,0
763,163.0,31.0,0,0
764,-106.0,69.0,0,0
765,-21.0,453.0,0,0
766,,,0,0
